year,arxiv_id,title,abstract,created,updated,authors,categories,link
2025,2502.14431,Causality Analysis of COVID-19 Induced Crashes in Stock and Commodity Markets: A Topological Perspective,"The paper presents a comprehensive causality analysis of the US stock and commodity markets during the COVID-19 crash. The dynamics of different sectors are also compared. We use Topological Data Analysis (TDA) on multidimensional time-series to identify crashes in stock and commodity markets. The Wasserstein Distance WD shows distinct spikes signaling the crash for both stock and commodity markets. We then compare the persistence diagrams of stock and commodity markets using the WD metric. A significant spike in the $WD$ between stock and commodity markets is observed during the crisis, suggesting significant topological differences between the markets. Similar spikes are observed between the sectors of the US market as well. Spikes obtained may be due to either a difference in the magnitude of crashes in the two markets (or sectors), or from the temporal lag between the two markets suggesting information flow. We study the Granger-causality between stock and commodity markets and also between different sectors. The results show a bidirectional Granger-causality between commodity and stock during the crash period, demonstrating the greater interdependence of financial markets during the crash. However, the overall analysis shows that the causal direction is from stock to commodity. A pairwise Granger-causal analysis between US sectors is also conducted. There is a significant increase in the interdependence between the sectors during the crash period. TDA combined with Granger-causality effectively analyzes the interdependence and sensitivity of different markets and sectors.",2025-02-20,2025-02-21,Buddha Nath Sharma; Anish Rai; SR Luwang; Md. Nurujjaman; Sushovan Majhi,q-fin.ST; math.AT; physics.data-an,https://arxiv.org/abs/2502.14431
2025,2501.18347,Description of di-hadron saturation signals within a universal nuclear parton distribution function approach,"Di-hadron and di-jet correlation measurements in proton-nucleus ($p$+A) and electron--nucleus collisions are widely motivated as sensitive probes of novel, non-linear QCD saturation dynamics in hadrons, which are particularly accessible in the dense nuclear environment at low values of Bjorken-$x$ ($x_\mathrm{A})$. Current measurements at RHIC and the LHC observe a significant suppression in the per-trigger yield at forward rapidities compared to that in proton-proton collisions, nominally consistent with the ""mono-jet"" production expected in a saturation scenario. However, the width of the azimuthal correlation remains unmodified, in contradiction to the qualitative expectations from this physics picture. I investigate whether the construction of these observables leaves them sensitive to effects from simple nuclear shadowing as captured by, for example, universal nuclear parton distribution function (nPDF) analyses. I find that modern nPDF sets, informed by recent precision measurements sensitive to the shadowing of low-$x_\mathrm{A}$ gluon densities in LHC and other data, can describe all or the majority of the di-hadron/jet suppression effects in $p$+A data at both RHIC and the LHC, while giving a natural explanation for why the azimuthal correlation width is unmodified. Notably, this is achieved via a $(x_\mathrm{A},Q^2)$-differential suppression of overall cross-sections only, without requiring additional physics dynamics which alter the inter-event correlations.",2025-05-01,2025-05-05,Dennis V. Perepelitsa,nucl-th; nucl-ex,https://arxiv.org/abs/2501.18347
2025,2505.01407,Dirac Scoto Inverse-Seesaw from $A_4$ Flavor Symmetry,"We present a Dirac scotogenic-like one loop radiative model where the stability of dark matter is intricately linked to the breaking of $A_4$ flavor symmetry. This breaking induces a $Z_2$ dark symmetry, stabilizing the dark matter candidate. The breaking of $A_4 \to Z_2$ leads to cutting the loop and facilitating a ""scoto inverse-seesaw"" mass mechanism responsible for neutrino mass generation. This elucidates the explicit explanation of two mass-squared differences, $Δm^2_{\rm{atm}}$ and $Δm^2_{\rm{sol}}$ observed in neutrino oscillations. Our model accounts for normal and inverted ordering of neutrino masses, revealing sharp correlations between $\sum m_i$ and $\langle m_β \rangle$. It also shows strong compatibility with current data in the $δ_{CP}$-$θ_{23}$ plane. Moreover, stringent constraints on scalar masses narrow down the viable dark matter mass regions, accommodating $SU(2)_L$ singlet and doublet scalar dark matter as well as fermionic dark matter. Additionally, our model presents a viable avenue for addressing lepton flavor violating decays while remaining consistent with current experimental constraints.",2025-10-13,2025-10-14,Ranjeet Kumar; Newton Nath; Rahul Srivastava; Sushant Yadav,hep-ph; hep-ex,https://arxiv.org/abs/2505.01407
2025,2509.01636,Explaining Optomechanical Libration Spectra: A Stochastic Simulation Approach,"We present a practical and computationally effective Ito-Taylor expansion based stochastic simulation framework for modeling rotational optomechanics experiments. By developing a model using this framework, we could capture the nonlinear orientation dynamics of an optically levitated, nearly cylindrically symmetric nanodumbbell. It successfully reproduces and explains shoulder-like features observed in the power spectral density of libration, which we show arising from the interplay between confined libration and thermally driven rotation around the particle symmetry axis.",2025-09-01,2025-09-03,Ankush Gogoi; Vikram Pakrashi; Joanna A. Zielinska,physics.comp-ph,https://arxiv.org/abs/2509.01636
2025,2508.13242,Born's rule deviations from temporal non-local effects,"We investigate deviations from Born's rule in quantum systems where the quantum-equilibrium hypothesis, $ρ\neq |Ψ|^2$, fails. Using the quantum-hydrodynamic framework, we show that transit-interference phenomena and intrinsic memory effects induce finite-time non-local correlations, resulting in violations of Born's rule. These effects appear as non-exponential decay in the survival probability of unstable states at intermediate timescales. Our findings challenge conventional interpretations of quantum probability and suggest novel dynamics that could guide future experimental investigations of temporal non-locality.",2025-08-18,2025-08-20,C. Dedes,quant-ph,https://arxiv.org/abs/2508.13242
2025,2506.14368,VLBA astrometry of PSRs B0329+54 and B1133+16: Improved pulsar distances and comparison of global ionospheric models,"Very long baseline interferometry (VLBI) astrometry is used to determine the three-dimensional position and proper motion of astronomical objects. A typical VLBI astrometric campaign generally includes around ten observations, making it challenging to characterise systematic uncertainties. Our study on two bright pulsars, B0329+54 and B1133+16, involves analysis of broadband Very Long Baseline Array (VLBA) data over $\sim30$ epochs (spanning approximately $3.5\, {\rm years}$). This extended dataset has significantly improved the precision of the astrometric estimates of these pulsars. Our broadband study suggests that, as expected, the primary contribution to systematic uncertainties in L-band VLBI astrometry originates from the ionosphere. We have also assessed the effectiveness of the modified TEC (total electron content) mapping function, which converts vertical TEC to slant TEC, in correcting ionospheric dispersive delays using global TEC maps. The parallax and proper motion obtained from the multiple data sets, calibrated using the traditional and the modified TEC mapping functions, are consistent. However, the reduced chi-square values from least-squares fitting and precision of the fitted astrometric parameters show no significant improvement, and hence, the effectiveness of the new TEC mapping function on astrometry is unclear. For B0329+54, the refined parallax estimate is $0.611^{+0.013}_{-0.013}\, {\rm mas}$, with best-fit proper motion of $μ_α = 16.960^{+0.011}_{-0.010}\, {\rm mas\, yr^{-1}}$ in R.A. and and $μ_δ = -10.382^{+0.022}_{-0.022}\, {\rm mas\, yr^{-1}}$ in Dec. For B1133+16, the new estimated parallax is $2.705^{+0.009}_{-0.009}\, {\rm mas}$, with proper motions of $μ_α = -73.777^{+0.008}_{-0.008}\, {\rm mas\, yr^{-1}}$ and $μ_δ = 366.573^{+0.019}_{-0.019}\, {\rm mas\, yr^{-1}}$.",2025-06-17,2025-07-30,Ashish Kumar; Adam T. Deller; Pankaj Jain; Javier Moldón,astro-ph.HE; astro-ph.GA; astro-ph.IM; astro-ph.SR,https://arxiv.org/abs/2506.14368
2025,2505.21747,The Initial Mass Function of Stars and Brown Dwarfs in the Upper Sco Association,"I present infrared spectroscopy of 37 brown dwarf candidates in the Upper Sco association, 35 of which are classified as young and cool, making them likely members. This sample includes many of the faintest spectroscopically confirmed members ($K=16$-17 mag), which should have masses down to $\sim0.007$-0.01 $M_\odot$ for the range of ages in Upper Sco (7-14 Myr). Using my updated membership catalog for Upper Sco, I have estimated the initial mass function (IMF) for a field in the center of the association that encompasses $\sim80$\% of the known members. I have derived IMFs in the same manner for previous membership samples in three other star-forming populations, consisting of IC 348, Taurus, and Chameleon I. When using logarithmic mass bins, the substellar IMFs for Upper Sco and the other young regions are roughly flat down to the completeness limits of $\sim$0.01 $M_\odot$. These IMFs are broadly similar to mass functions recently measured for the solar neighborhood. Finally, I have used W1$-$W2 colors to search for excess emission from circumstellar disks among the late-type objects in my new census of Upper Sco. I measure an excess fraction of 52/200 for members with spectral types of M6.25-M9.5, which is similar to results from previous membership catalogs. For the L-type members, it is difficult to detect the small W2 excess emission produced by typical disks around brown dwarfs because of the large uncertainties in spectral types, which preclude accurate estimates of the photospheric colors. Thus, W2 photometry provides poor constraints on the presence of disks for the L-type members of Upper Sco.",2025-05-27,2025-05-29,K. L. Luhman,astro-ph.SR,https://arxiv.org/abs/2505.21747
2025,2501.05013,Planetary Nebulae of the Large Magellanic Cloud II: the connection with the progenitors' properties,"The study of planetary nebulae (PNe) offers the opportunity of evaluating the efficiency of the dust production mechanism during the very late asymptotic giant branch (AGB) phases. We study the relationship between the properties of PNe, particularly the gas and dust content, with the mass and metallicity of the progenitor stars, to understand how dust production works in the late AGB phases, and to shed new light on the physical processes occurring to the stars and the material in their surroundings since the departure from the AGB until the PN phase. We consider a sample of 9 PNe in the Large Magellanic Cloud, 7 out of which characterized by the presence of carbonaceous dust, the remaining 2 with silicates. For these stars the masses and the metallicity of the progenitor stars were estimated. We combine results from stellar evolution and dust formation modelling with those coming from the analysis of the spectral energy distribution, to find the relation between the dust and gas mass of the PNe considered and the The physical properties of carbon-rich PNe are influenced by the mass of the progenitor star. Specifically, the dust-to-gas ratio in the nebula increases from 5x10^{-4}to 6x10^{-3} as the progenitor star's mass increases from approximately 0.9Msun to 2Msun. This change is partly influenced by the effective temperature of the PNe, and it occurs because higher-mass carbon stars are more efficient at producing dust. Consequently, as the progenitor's mass increases, the gas mass of the PNe decreases, since the larger amounts of dust lead to greater effects from radiation pressure, which pushes the gas outwards. No meaningful conclusions can be drawn by the study of the PNe with silicate-type dust, because the sub-sample is made up of 2 PNe only, one of which is almost dust-free.",2025-01-09,2025-02-12,P. Ventura; S. Tosi; D. A. García-Hernández; F. Dell'Agli; D. Kamath; L. Stanghellini; S. Bianchi; M. Tailo; M. A. Gómez-Muñoz,astro-ph.SR; astro-ph.GA,https://arxiv.org/abs/2501.05013
2025,2501.16407,Optical coherence and hyperfine structure of the 7F0-5D0 transition in EuCaWO4,"Rare-earth ions doped in crystals with low nuclear-spin densities are highly promising candidates for quantum technology applications. In this study, we investigated the spectroscopic properties of the 7F0 - 5 D0 optical and the hyperfine transitions of Eu3+ ions in a CaWO4 crystal, where the nuclear spin arises solely from the 183W isotope, with a natural abundance of 14%. At a temperature of 3 K, we experimentally identified four distinct crystal field environments for Eu3+ ions in a 0.1 at.% Eu3+ doped CaWO4 crystal. The optical coherence properties of Eu3+ ions in these environments were characterized. Additionally, we resolved the hyperfine structures in the 7F0 ground state and 5D0 excited state, and determined the 7F0 ground state lifetimes using spectral hole-burning techniques. These findings highlight the significant potential of Eu3+:CaWO4 for optical quantum memory applications.",2025-04-14,2025-04-15,Xiantong An; Weiye Sun; Zhehao Xu; Wanting Xiao; Miaomiao Ren; Mucheng Guo; Shuping Liu; Fudong Wang; Manjin Zhong,cond-mat.mtrl-sci,https://arxiv.org/abs/2501.16407
2025,2507.03055,Quantum Reflection Effects in the Diffraction of Matter Waves,"Among the fundamental quantum effects, quantum reflection (QR) is one of the most notable phenomena. Approximating arbitrary potentials in the Schrödinger equation as multistep potentials allows us to determine the reflection coefficient by means of a Riccati equation. We introduce a measure for the wavefunction's characteristic reflection distance and derive an analytical expression for this reflection point in an arbitrary power-law potential. We study the associated QR rate in the context of Casimir--Polder atom surface interactions, revealing its strong dependence on critical parameters such as velocity and interaction duration. As an application, we demonstrate how the matter-wave diffraction of a low-velocity metastable Argon beam impinging on a rotated grating facilitates high-precision potential analysis.",2025-07-03,2025-07-08,Johannes Fiedler; Eivind K. Osestad; Fabian Spallek; Andreu Vega; Quentin Bouton; Gabriel Dutier,quant-ph,https://arxiv.org/abs/2507.03055
2025,2504.05016,Radio frequency single electron transmission spectroscopy of a semiconductor Si/SiGe quantum dot,"Rapid single shot spin readout is a key ingredient for fault tolerant quantum computing with spin qubits. An RF-SET (radio-frequency single electron transistor) is predominantly used as its the readout timescale is far shorter than the spin decoherence time. In this work, we experimentally demonstrate a transmission-based RF-SET using a multi-module semiconductor-superconductor assembly. A monolithically integrated SET placed next to a double quantum dot in a Si/SiGe heterostructure is wire-bonded to a superconducting niobium inductor forming the impedance-transforming network. Compared to RF reflectometry, the proposed set-up is experimentally simpler without the need for directional couplers. Read-out performance is benchmarked by the signal-to-noise (SNR) of a dot-reservoir transition (DRT) and an interdot charge transition (ICT) in the double quantum dot near the SET as a function of RF power and integration time. The minimum integration time for unitary SNR is found to be 100 ns for ICT and 300 ns for DRT. The obtained minimum integration times are comparable to the state of the art in conventional RF reflectometry set-ups. Furthermore, we study the turn-on properties of the RF-SET to investigate capacitive shifts and RF losses. Understanding these effects are crucial for further optimisations of the impedance transforming network as well as the device design to assist RF read-out. This new RF read-out scheme also shows promise for multiplexing spin-qubit readout and further studies on rapid charge dynamics in quantum dots.",2025-04-07,2025-04-08,I. Fattal; J. Van Damme; B. Raes; C. Godfrin; G. Jaliel; K. Chen; T. Van Caekenberghe; A. Loenders; S. Kubicek; S. Massar; Y. Canvel; J. Jussot; Y. Shimura; R. Loo; D. Wan; M. Mongillo; K. De Greve,cond-mat.mes-hall; physics.app-ph,https://arxiv.org/abs/2504.05016
2025,2505.03524,Experimental Side-Channel-Secure Quantum Key Distribution over 200 km,"Quantum key distribution (QKD) enables two remote parties to share encryption keys with information-theoretic security guaranteed by physical laws. Side-channel-secure QKD (SCS-QKD) has attracted considerable attention because it simultaneously removes source and detector side-channel vulnerabilities. Although a recent experiment demonstrated SCS-QKD over 50 km, practical implementation remains challenging due to imperfect vacuum preparation and finite-key constraints under coherent attacks. Here, following the theoretical framework of Jiang et al. [Phys. Rev. Res. 6, 013266 (2024)], we experimentally implement a practical SCS-QKD protocol using an imperfect whole-space source and rigorous finite-key analysis. Benefiting from a stable GHz-level system operating at 1.25 GHz, we extend the transmission distance to 200 km and achieve high secure key rates of 18.31 kbps, 2.55 kbps, and 196.03 bps at 100 km, 150 km, and 200 km, respectively. Our results establish a new distance record for SCS-QKD and demonstrate the feasibility of high-speed, long-distance, and practically secure quantum key distribution.",2026-03-14,2026-03-17,Yang Zhou; Jing-Yang Liu; Chun-Hui Zhang; Chun-Wang Yi; Teng-Wen Jiang; Le-Chen Xu; Qin Wang,quant-ph,https://arxiv.org/abs/2505.03524
2025,2508.07912,Solar Flux Atlases: The new HARPS-N Quiet Sun Benchmark and Ca II H & K Lines Continuum Normalisation,"Context. Solar flux atlases observe the spatially integrated light from the Sun, treating it as a star. They are fundamental tools for gaining insight into the composition of the Sun and other stars, and are utilized as reference material for a wide range of solar applications such as stellar chemical abundances, atmospheric physics, stellar activity, and radial velocity signals. Aims. We provide a detailed comparison of solar activity in some of the well-known solar atlases against the new High Accuracy Radial velocity Planet Searcher for the Northern hemisphere (HARPS-N) Quiet Sun (QS) and measured activity (MA) atlases that are published, for the first time, in this work. Methods. Ten of the widely used individual spectral lines from each flux atlas were selected to compare solar activity using three methods: 1) Equivalent Widths 2) Activity number, a novel activity measure which we introduce in this work. 3) Bisectors and radial velocity. Results. The significantly smaller activity measured in the MA atlas compared to the other atlases, relative to the QS atlas, underscores the dominance of instrumental effects over solar activity in their impact on spectral lines, which cannot be corrected through simple line convolution to match resolutions of other atlases. Additionally, our investigation unexpectedly revealed a substantial intensity shift in the Ca ii H & K lines of other atlases compared to our HARPS-N atlases, likely caused by assumptions in normalisation techniques used in the early Kitt Peak atlases. Conclusions. With an average spot number of zero, our QS atlas is well suited to serve as an absolute benchmark atlas representative of solar minimum for the visible spectrum that other atlases can be compared against. Our recommendations are 1) publication of a detailed log along with the observations, to include exact dates and indications of solar activity...",2025-10-12,2025-10-14,F. Hanassi-Savari; A. G. M. Pietrow; M. K. Druett; M. Cretignier; M. Ellwarth,astro-ph.SR; astro-ph.EP; astro-ph.IM,https://arxiv.org/abs/2508.07912
